pickup_datetime,dropoff_datetime,trip_distance,passenger_count,payment_amount
1/1/16 0:01,1/1/16 0:04,0.56,1,5.8
1/1/16 0:01,1/1/16 0:20,3.55,1,20.16
1/1/16 0:02,1/1/16 0:06,0.6,1,6.3
1/1/16 0:03,1/1/16 0:12,3.2,2,12.3
1/1/16 0:03,1/1/16 0:16,2.64,3,12.8
1/1/16 0:04,1/1/16 0:22,3.53,1,16.8
1/1/16 0:04,1/1/16 0:24,6.44,1,28.99
1/1/16 0:05,1/1/16 0:26,15.75,1,53.8
1/1/16 0:05,1/1/16 0:38,6.9,3,27.8
1/1/16 0:06,1/1/16 0:27,4.71,2,19.8
1/1/16 0:06,1/1/16 0:22,2.63,1,15.3
1/1/16 0:06,1/1/16 0:21,3.4,1,14.8
1/1/16 0:07,1/1/16 0:15,1.4,2,9.3
1/1/16 0:07,1/1/16 0:16,1.39,1,11.44
1/1/16 0:07,1/1/16 0:12,1.3,2,8.75
1/1/16 0:08,1/1/16 0:30,3.05,2,18.96
1/1/16 0:08,1/1/16 0:24,2.44,5,14.3
1/1/16 0:08,1/1/16 0:21,2.25,5,14.75
1/1/16 0:09,1/1/16 0:19,1.92,2,14.04
1/1/16 0:09,1/1/16 0:14,1.21,2,7.3
1/1/16 0:09,1/1/16 0:29,5,2,19.8
1/1/16 0:09,1/1/16 0:14,0.45,1,6.8
1/1/16 0:10,1/1/16 0:22,2.8,1,13.8
1/1/16 0:10,1/1/16 0:19,1.5,1,12.05
1/1/16 0:10,1/1/16 0:13,0.9,1,7.25
1/1/16 0:11,1/1/16 0:30,7.75,1,32.88
1/1/16 0:11,1/1/16 0:19,1.3,1,8.3
1/1/16 0:11,1/1/16 0:22,3.3,1,13.3
1/1/16 0:11,1/1/16 0:29,6.59,1,22.3
1/1/16 0:12,1/1/16 0:18,1.2,1,9.3
1/1/16 0:12,1/1/16 0:18,1.34,1,9.36
1/1/16 0:12,1/1/16 0:12,0,2,32.8
1/1/16 0:12,1/1/16 0:23,2.65,3,11.8
1/1/16 0:12,1/1/16 0:42,4.57,1,22.3
1/1/16 0:13,1/1/16 0:17,1.2,1,7.3
1/1/16 0:13,1/1/16 0:24,3.36,1,12.8
1/1/16 0:13,1/1/16 0:28,6.24,1,27.69
1/1/16 0:14,1/1/16 0:30,5.11,1,22.56
1/1/16 0:14,1/1/16 0:36,3.66,1,20.8
1/1/16 0:14,1/1/16 0:27,5.22,4,25.3
1/1/16 0:14,1/1/16 0:39,18.1,1,58.34
1/1/16 0:15,1/1/16 0:24,1.3,1,9.3
1/1/16 0:15,1/1/16 0:27,2.1,1,14.1
1/1/16 0:15,1/1/16 0:29,2.07,1,13.8
1/1/16 0:15,1/1/16 0:32,2.7,2,16.3
1/1/16 0:16,1/1/16 0:17,0.03,1,4.3
1/1/16 0:16,1/1/16 0:28,2.97,3,15.96
1/1/16 0:16,1/1/16 0:31,2.9,2,14.8
1/1/16 0:16,1/1/16 0:35,7,1,29.15
1/1/16 0:16,1/1/16 0:23,1.3,1,7.8
1/1/16 0:17,1/1/16 0:20,1,2,0.8
1/1/16 0:17,1/1/16 0:35,5.3,1,22.55
1/1/16 0:17,1/1/16 0:36,6.6,1,30.29
1/1/16 0:17,1/1/16 0:36,7.86,1,25.3
1/1/16 0:17,1/1/16 0:27,1.9,1,10.3
1/1/16 0:18,1/1/16 0:28,0.39,6,8.8
1/1/16 0:18,1/1/16 0:32,1.5,1,13.55
1/1/16 0:18,1/1/16 0:27,5.17,1,16.8
1/1/16 0:18,1/1/16 0:38,3.45,6,16.3
1/1/16 0:19,1/1/16 0:27,1.1,1,8.3
1/1/16 0:19,1/1/16 0:47,4,1,27
1/1/16 0:19,1/1/16 1:06,9.2,2,47.8
1/1/16 0:19,1/1/16 0:28,1.33,5,8.8
1/1/16 0:20,1/1/16 0:43,3.9,2,23.15
1/1/16 0:20,1/1/16 0:29,2.2,2,13.35
1/1/16 0:20,1/1/16 0:32,1,1,12.88
1/1/16 0:20,1/1/16 0:26,1.6,1,9.36
1/1/16 0:20,1/1/16 0:31,2.9,6,15.99
1/1/16 0:20,1/1/16 0:25,1,1,8.8
1/1/16 0:21,1/1/16 0:58,17.3,1,90.3
1/1/16 0:21,1/1/16 0:21,0,2,16.3
1/1/16 0:21,1/1/16 0:25,0.5,1,5.8
1/1/16 0:22,1/1/16 0:33,1.65,1,12.36
1/1/16 0:22,1/1/16 0:30,1.57,5,9.3
1/1/16 0:22,1/1/16 0:38,7.04,6,22.8
1/1/16 0:22,1/1/16 0:33,2.52,1,13.56
1/1/16 0:22,1/1/16 0:26,0.9,3,7.5
1/1/16 0:23,1/1/16 0:23,0,1,101.3
1/1/16 0:23,1/1/16 0:39,1.37,1,11.8
1/1/16 0:23,1/1/16 0:46,2.33,1,16.3
1/1/16 0:23,1/1/16 0:56,2.8,1,26.15
1/1/16 0:23,1/1/16 0:38,1.9,2,14.3
1/1/16 0:24,1/1/16 0:51,4.5,3,25.55
1/1/16 0:24,1/1/16 0:42,5.34,1,22.3
1/1/16 0:24,1/1/16 0:30,0.95,1,8.76
1/1/16 0:24,1/1/16 0:57,6.38,1,33.36
1/1/16 0:25,1/1/16 0:39,2.3,2,14.75
1/1/16 0:25,1/1/16 0:30,1.42,2,9.36
1/1/16 0:25,1/1/16 0:41,1.3,1,12.8
1/1/16 0:25,1/1/16 0:32,0.73,1,9.36
1/1/16 0:25,1/1/16 0:47,8.85,5,28.3
1/1/16 0:26,1/1/16 1:00,4.8,1,27.83
1/1/16 0:26,1/1/16 0:35,1.8,2,9.8
1/1/16 0:26,1/1/16 1:06,13.9,2,44.3
1/1/16 0:26,1/1/16 0:39,2.1,1,12.8
1/1/16 0:26,1/1/16 0:36,1.25,3,8.8
1/1/16 0:27,1/1/16 0:43,4.49,6,21.3
1/1/16 0:27,1/1/16 0:45,3,1,14.8
1/1/16 0:27,1/1/16 0:54,4.7,1,27.25
1/1/16 0:27,1/1/16 1:36,10.71,2,49.8
1/1/16 0:28,1/1/16 0:52,5.16,1,25.56
1/1/16 0:28,1/1/16 0:40,2.63,3,14.8
1/1/16 0:28,1/1/16 0:53,3.94,2,19.8
1/1/16 0:28,1/1/16 0:33,1,1,8.15
1/1/16 0:28,1/1/16 0:48,3.34,3,16.3
1/1/16 0:29,1/1/16 0:55,17.4,1,66
1/1/16 0:29,1/1/16 0:32,0.3,2,5.3
1/1/16 0:29,1/1/16 0:35,0.91,1,7.3
1/1/16 0:29,1/1/16 0:38,2.2,1,10.8
1/1/16 0:29,1/1/16 0:55,5.6,1,27.35
1/1/16 0:30,1/1/16 0:49,8.5,2,31.3
1/1/16 0:30,1/1/16 1:02,4.98,5,23.3
1/1/16 0:30,2/1/16 0:28,3.7,1,16.3
1/1/16 0:30,1/1/16 0:38,0.81,6,7.8
1/1/16 0:31,1/1/16 0:32,0.2,1,4.3
1/1/16 0:31,1/1/16 0:37,1.55,6,8.3
1/1/16 0:31,1/1/16 0:38,1.07,1,9.96
1/1/16 0:31,1/1/16 0:45,4,2,19.3
1/1/16 0:31,1/1/16 0:48,2.3,2,15.3
1/1/16 0:32,1/1/16 1:00,7.7,1,29.3
1/1/16 0:32,1/1/16 0:52,8.1,1,26.8
1/1/16 0:32,1/1/16 0:51,2.6,1,18.35
1/1/16 0:32,1/1/16 0:39,1.17,1,7.8
1/1/16 0:33,1/1/16 0:51,3.9,4,16.3
1/1/16 0:33,1/1/16 0:44,2,1,11.3
1/1/16 0:33,1/1/16 0:51,4.3,3,19.8
1/1/16 0:33,1/1/16 1:00,3.75,2,19.8
1/1/16 0:33,1/1/16 0:35,0.5,2,4.8
1/1/16 0:34,1/1/16 0:49,4.55,5,16.3
1/1/16 0:34,1/1/16 0:45,2.06,1,12.96
1/1/16 0:34,1/1/16 0:39,1.17,1,8.84
1/1/16 0:34,1/1/16 0:43,2.3,1,12.35
1/1/16 0:34,1/1/16 0:42,1,4,7.8
1/1/16 0:35,1/1/16 0:46,1.5,1,9.8
1/1/16 0:35,1/1/16 0:57,3.2,1,19.5
1/1/16 0:35,1/1/16 0:41,0.9,1,8.75
1/1/16 0:35,1/1/16 0:55,3,1,20.35
1/1/16 0:36,1/1/16 1:04,4.3,2,21.8
1/1/16 0:36,1/1/16 0:53,3.24,1,18.5
1/1/16 0:36,1/1/16 1:01,2.87,1,21.96
1/1/16 0:36,1/1/16 0:50,5.3,1,18.8
1/1/16 0:36,1/1/16 0:48,2.26,1,14.69
1/1/16 0:37,1/1/16 0:54,4,5,21
1/1/16 0:37,1/1/16 0:55,4.24,3,17.8
1/1/16 0:37,1/1/16 0:43,0.71,5,6.8
1/1/16 0:37,1/1/16 1:03,4.6,1,20.8
1/1/16 0:37,1/1/16 1:04,3.4,2,20.3
1/1/16 0:38,1/1/16 0:58,4.5,1,18.3
1/1/16 0:38,1/1/16 0:47,4.24,1,18.5
1/1/16 0:38,1/1/16 0:49,2.51,1,13.56
1/1/16 0:39,1/1/16 0:49,1.56,6,9.8
1/1/16 0:39,1/1/16 0:52,1.65,1,10.8
1/1/16 0:39,1/1/16 0:49,0.9,4,8.8
1/1/16 0:39,1/1/16 1:14,3.9,1,30.25
